"device_id","temperature","temperature_fahrenheit","humidity","roll","pitch","voltage","timestamp","__dt","__year","__month","__day","__hour"
"70b3d5499bac188b","29","84","31","2.970797","-3.192403","4.792079","2022-10-22 15:56:27","2022-10-22 00:00:00.000","2022","10","22","15"
"70b3d5499bac188b","25","78","31","-0.3265086","-2.50399","4.797097","2022-10-22 17:23:36","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","31","0.1587736","-2.322593","4.787061","2022-10-22 17:23:47","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","31","-0.2202307","-2.569994","4.797097","2022-10-22 17:23:57","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","78","31","-0.3056694","-3.318144","4.787061","2022-10-22 17:7:18","2022-10-22 00:00:00.000",,,,
"70b3d5499bac188b","25","78","31","0.04245703","-2.37623","4.792079","2022-10-22 17:22:33","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","31","-0.2697588","-2.575162","4.792079","2022-10-22 17:22:44","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","31","-0.07812733","-2.633165","4.787061","2022-10-22 17:22:54","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","33","0.4955034","0.382235","4.797097","2022-10-22 17:36:39","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","33","0.3401985","0.5315418","4.792079","2022-10-22 17:36:49","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","77","31","3.07004","-2.689253","4.792079","2022-10-22 17:10:7","2022-10-22 00:00:00.000",,,,
"70b3d5499bac188b","26","79","30","-0.3920889","-3.9928","4.782043","2022-10-22 16:31:38","2022-10-22 00:00:00.000","2022","10","22","16"
"70b3d5499bac188b","26","79","30","-0.2275323","-3.968337","4.782043","2022-10-22 16:31:28","2022-10-22 00:00:00.000","2022","10","22","16"
"70b3d5499bac188b","25","78","39","1.89222","2.152055","4.787061","2022-10-22 17:35:35","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","37","0.3349342","0.1625686","4.787061","2022-10-22 17:35:46","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","78","36","0.1202948","0.375031","4.792079","2022-10-22 17:35:56","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","29","84","32","-42.75176","-5.816766","4.787061","2022-10-22 15:56:3","2022-10-22 00:00:00.000",,,,
"70b3d5499bac188b","29","84","31","4.314268","-4.251999","4.787061","2022-10-22 15:56:9","2022-10-22 00:00:00.000",,,,
"70b3d5499bac188b","29","85","54","33.65615","69.9934","4.797097","2022-10-22 15:49:2","2022-10-22 00:00:00.000",,,,
"70b3d5499bac188b","29","85","63","37.37493","69.01773","4.792079","2022-10-22 15:49:8","2022-10-22 00:00:00.000",,,,
"70b3d5499bac188b","27","81","32","9.871243","37.81535","4.787061","2022-10-22 16:0:1","2022-10-22 00:00:00.000",,,,
"70b3d5499bac188b","27","81","34","-2.911302","40.18919","4.787061","2022-10-22 16:0:6","2022-10-22 00:00:00.000",,,,
"70b3d5499bac188b","25","78","31","-0.2562279","-2.428741","4.787061","2022-10-22 17:22:01","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","31","-0.4427605","-2.191288","4.792079","2022-10-22 17:22:12","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","31","-0.2554979","-2.461192","4.787061","2022-10-22 17:22:22","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","29","84","113","26.98753","51.04687","4.802115","2022-10-22 17:34:01","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","30","87","115","26.93969","50.66765","4.792079","2022-10-22 17:34:11","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","30","87","115","67.13817","39.18264","4.797097","2022-10-22 17:34:22","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","29","84","31","-61.82339","28.24795","4.782043","2022-10-22 15:55:51","2022-10-22 00:00:00.000","2022","10","22","15"
"70b3d5499bac188b","29","84","32","-28.48525","25.66309","4.792079","2022-10-22 15:55:57","2022-10-22 00:00:00.000","2022","10","22","15"
"70b3d5499bac188b","26","79","31","1.131252","-2.282493","4.787061","2022-10-22 17:17:38","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","78","31","-0.1064844","-2.539762","4.782043","2022-10-22 17:20:58","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","78","31","-0.255783","-2.471133","4.792079","2022-10-22 17:21:09","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","78","31","-0.393067","-2.513995","4.782043","2022-10-22 17:21:19","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","79","31","-0.2630837","-2.607685","4.792079","2022-10-22 17:19:34","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","79","31","-0.2848741","-2.533716","4.787061","2022-10-22 17:19:44","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","79","31","-0.3055177","-2.562156","4.797097","2022-10-22 17:19:55","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","80","30","0.07128996","-4.205667","4.792079","2022-10-22 16:30:35","2022-10-22 00:00:00.000","2022","10","22","16"
"70b3d5499bac188b","26","80","30","-0.1067092","-4.097743","4.797097","2022-10-22 16:30:45","2022-10-22 00:00:00.000","2022","10","22","16"
"70b3d5499bac188b","26","79","30","0.13478","-4.318943","4.787061","2022-10-22 16:30:56","2022-10-22 00:00:00.000","2022","10","22","16"
"70b3d5499bac188b","26","78","31","-0.247359","-3.268646","4.792079","2022-10-22 17:7:29","2022-10-22 00:00:00.000",,,,
"70b3d5499bac188b","25","78","31","-0.2769263","-3.071667","4.792079","2022-10-22 17:7:39","2022-10-22 00:00:00.000",,,,
"70b3d5499bac188b","25","78","31","-0.2416629","-3.216411","4.792079","2022-10-22 17:7:50","2022-10-22 00:00:00.000",,,,
"70b3d5499bac188b","27","81","29","1.58581","-2.776476","4.777025","2022-10-22 16:40:18","2022-10-22 00:00:00.000","2022","10","22","16"
"70b3d5499bac188b","27","81","29","1.576745","-2.6966","4.782043","2022-10-22 16:40:29","2022-10-22 00:00:00.000","2022","10","22","16"
"70b3d5499bac188b","27","81","29","1.761736","-2.689928","4.792079","2022-10-22 16:40:39","2022-10-22 00:00:00.000","2022","10","22","16"
"70b3d5499bac188b","27","81","29","1.64104","-2.775826","4.792079","2022-10-22 16:40:50","2022-10-22 00:00:00.000","2022","10","22","16"
"70b3d5499bac188b","27","81","29","1.565959","-2.754032","4.787061","2022-10-22 16:41:11","2022-10-22 00:00:00.000","2022","10","22","16"
"70b3d5499bac188b","29","84","31","3.580719","-3.28654","4.792079","2022-10-22 15:56:33","2022-10-22 00:00:00.000","2022","10","22","15"
"70b3d5499bac188b","25","77","45","12.55644","0.4246346","4.797097","2022-10-7 14:47:31","2022-10-07 00:00:00.000",,,,
"70b3d5499bac188b","25","77","45","120.1411","53.36911","4.787061","2022-10-7 14:47:37","2022-10-07 00:00:00.000",,,,
"70b3d5499bac188b","25","77","45","136.9538","49.62883","4.792079","2022-10-7 14:47:43","2022-10-07 00:00:00.000",,,,
"70b3d5499bac188b","25","77","46","10.06876","-19.77238","4.792079","2022-10-7 14:47:49","2022-10-07 00:00:00.000",,,,
"70b3d5499bac188b","25","77","46","-69.82984","35.1948","4.792079","2022-10-7 14:47:55","2022-10-07 00:00:00.000",,,,
"70b3d5499bac188b","25","78","31","-0.3125452","-2.895664","4.792079","2022-10-22 17:10:29","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","31","-0.207075","-3.373554","4.792079","2022-10-22 17:10:39","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","31","-0.2353728","-3.668212","4.792079","2022-10-22 17:10:50","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","33","0.7794863","0.687311","4.787061","2022-10-22 17:37:00","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","34","1.591337","1.278377","4.792079","2022-10-22 17:37:10","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","34","1.488983","1.42948","4.787061","2022-10-22 17:37:21","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","27","82","57","13.76172","73.19661","4.792079","2022-10-22 16:10:28","2022-10-22 00:00:00.000","2022","10","22","16"
"70b3d5499bac188b","29","84","78","15.09691","77.15858","4.792079","2022-10-22 16:10:34","2022-10-22 00:00:00.000","2022","10","22","16"
"70b3d5499bac188b","30","86","94","143.6239","55.58367","4.797097","2022-10-22 16:10:39","2022-10-22 00:00:00.000","2022","10","22","16"
"70b3d5499bac188b","30","87","104","17.55908","55.99205","4.792079","2022-10-22 16:10:45","2022-10-22 00:00:00.000","2022","10","22","16"
"70b3d5499bac188b","31","88","106","-25.7369","35.70974","4.792079","2022-10-22 16:10:50","2022-10-22 00:00:00.000","2022","10","22","16"
"70b3d5499bac188b","31","89","107","-5.70906","63.23985","4.787061","2022-10-22 16:10:56","2022-10-22 00:00:00.000","2022","10","22","16"
"70b3d5499bac188b","25","77","31","-0.2362847","-3.72507","4.792079","2022-10-22 17:10:18","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","33","-0.480338","-2.426731","4.782043","2022-10-22 17:41:31","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","78","44","-85.76945","72.24149","4.787061","2022-10-22 17:41:41","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","29","85","87","-41.91073","72.90538","4.797097","2022-10-22 17:41:52","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","78","31","-0.1352824","-2.540218","4.792079","2022-10-22 17:21:30","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","78","31","-0.2575074","-2.673187","4.792079","2022-10-22 17:21:40","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","78","31","-0.1852151","-2.669434","4.787061","2022-10-22 17:21:51","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","80","37","4.643525","-3.06968","4.777025","2022-10-22 17:32:26","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","79","31","-0.07055258","-2.686083","4.782043","2022-10-22 17:20:06","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","79","31","-0.1559451","-2.726974","4.787061","2022-10-22 17:20:16","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","78","31","-0.2213008","-2.61803","4.792079","2022-10-22 17:20:27","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","28","83","98","-0.1641913","-5.310245","4.792079","2022-10-22 17:34:32","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","80","95","-154.3354","-74.49793","4.792079","2022-10-22 17:34:43","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","72","122.3137","28.63619","4.797097","2022-10-22 17:34:53","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","79","31","1.476295","-2.181053","4.787061","2022-10-22 17:18:41","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","78","31","1.234418","-2.198001","4.792079","2022-10-22 17:18:52","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","26","79","30","-0.2420232","-3.923164","4.792079","2022-10-22 16:31:7","2022-10-22 00:00:00.000",,,,
"70b3d5499bac188b","29","85","105","-47.79184","74.64146","4.792079","2022-10-22 17:33:29","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","29","84","96","-99.96987","68.0925","4.787061","2022-10-22 17:33:39","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","27","82","105","4.082725","70.14246","4.792079","2022-10-22 17:33:50","2022-10-22 00:00:00.000","2022","10","22","17"
